slice,arm,n_queries,p_at_1,p_at_3,p_at_5,p_at_10,mrr,ndcg,coverage_at_k,relevant_hit_rate,certified_hit_at_k,curated_miss_recovery,seed_only_useful_recovery,good_hit_burial_count,relevant_lost_vs_curated_rate,generic_pollution_rate,duplicate_cluster_pollution_rate
all,A_curated_default,2471,0.728,0.6891,0.6854,0.6686,0.817,0.8496,0.6131,0.9676,0.8915,,,,,0.0354,0.0209
all,B_naive_full,2471,0.6682,0.6506,0.6373,0.6193,0.7671,0.8109,0.5509,0.9514,0.8555,0.15,0.0,1952,0.021,0.0403,0.0181
all,C_weighted_diversity_full,2471,0.7637,0.7252,0.7101,0.6853,0.8456,0.8689,0.6047,0.9781,0.9474,0.4125,0.0,1680,0.0028,0.0104,0.0097
all,C_certified_only,2471,0.7746,0.7592,0.7527,0.7291,0.8543,0.8789,0.5756,0.9745,0.9745,0.5625,0.0,2022,0.0113,0.0,0.0067
all,C_no_generic,2471,0.7633,0.7338,0.7173,0.6903,0.8484,0.8716,0.6044,0.9786,0.9478,0.4125,0.0,1690,0.0024,0.0,0.0097
saturated_400,A_curated_default,400,0.7075,0.655,0.6265,0.6028,0.791,0.8146,0.6488,0.935,0.8225,,,,,0.032,0.0303
saturated_400,B_naive_full,400,0.6925,0.67,0.64,0.6145,0.7768,0.8006,0.6078,0.9125,0.7825,0.2308,0.0,280,0.0375,0.041,0.0213
saturated_400,C_weighted_diversity_full,400,0.7075,0.685,0.669,0.6253,0.7935,0.8179,0.6393,0.93,0.8725,0.1538,0.0,250,0.015,0.0058,0.0111
saturated_400,C_certified_only,400,0.7075,0.69,0.6705,0.6333,0.7842,0.8016,0.6055,0.9,0.9,0.2308,0.0,306,0.05,0.0,0.005
saturated_400,C_no_generic,400,0.71,0.685,0.668,0.6255,0.795,0.8188,0.6359,0.9325,0.8725,0.1538,0.0,252,0.0125,0.0,0.0113
general_precision,A_curated_default,1799,1.0,0.8353,0.7971,0.7502,1.0,0.9539,0.6498,1.0,0.9394,,,,,0.0219,0.0211
general_precision,B_naive_full,1799,0.8527,0.7841,0.7516,0.7129,0.9065,0.907,0.6001,0.9911,0.9133,0.0,0.0,1504,0.0089,0.0277,0.0169
general_precision,C_weighted_diversity_full,1799,0.9377,0.847,0.8106,0.7604,0.9646,0.9451,0.6431,0.9994,0.9717,0.0,0.0,1262,0.0006,0.0057,0.01
general_precision,C_certified_only,1799,0.9044,0.8356,0.8217,0.7893,0.9385,0.9311,0.6008,0.9917,0.9917,0.0,0.0,1510,0.0083,0.0,0.0073
