blocking_profile_id,registry_record_id,exact_keys,keyword_keys,label_keys,input_signature,output_signature,graph_signature,semantic_text_hash,semantic_bucket_keys,mutation_hints,profile_hash,serves_truth
blockprofile_ff5a0c4382300217b7a333ff,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,"[""primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run"", ""py_function_code_templates_cosine_similarity_cosine_similarity__run""]","[""12"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""cosine"", ""dag"", ""does"", ""enrich"", ""evidence"", ""false"", ""function"", ""generated"", ""graph"", ""information"", ""inputs"", ""inventory"", ""kind"", ""line"", ""logs"", ""name"", ""not"", ""observed"", ""or"", ""parameter"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""required"", ""return"", ""run"", ""searchable"", ""signature"", ""similarity"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""to"", ""true"", ""use""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_cosine_similarity_cosine_similarity__run as a dag step for a this task"", ""cosine"", ""dag"", ""false"", ""function"", ""information"", ""kind"", ""kind:function"", ""path:code-templates/cosine_similarity/cosine_similarity.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""run"", ""similarity"", ""source"", ""step"", ""task"", ""templates"", ""to"", ""use"", ""use py_function_code_templates_cosine_similarity_cosine_similarity__run to source this information""]","{""fields"": [""inputs""], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""float"", ""get"", ""isinstance"", ""len"", ""run"", ""sqrt"", ""sum"", ""typeerror"", ""valueerror"", ""zip""]",504c61594545b52a2c769fac85cf31c720780c7d07c0fcd8693588bbbce419f8,"[""semantic_bucket:34:pos"", ""semantic_bucket:11:pos"", ""semantic_bucket:62:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:43:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:12:pos""]","[""output_field_wrapper""]",845c80515ef01fb6dbc63302abd03c629c9536d115a805a20847f46fa530b52e,false
blockprofile_601f089a91f0a7cf9d2aaf8e,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,"[""primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run"", ""py_function_code_templates_count_tokens_approx_count_tokens_approx__run""]","[""11"", ""after"", ""approx"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""count"", ""dag"", ""does"", ""enrich"", ""evidence"", ""function"", ""generated"", ""graph"", ""information"", ""inputs"", ""inventory"", ""kind"", ""line"", ""logs"", ""name"", ""not"", ""observed"", ""or"", ""parameter"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""required"", ""return"", ""run"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""to"", ""tokens"", ""true"", ""use""]","[""approx"", ""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_count_tokens_approx_count_tokens_approx__run as a dag step for a this task"", ""count"", ""dag"", ""function"", ""information"", ""kind"", ""kind:function"", ""path:code-templates/count_tokens_approx/count_tokens_approx.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""run"", ""source"", ""step"", ""task"", ""templates"", ""to"", ""tokens"", ""use"", ""use py_function_code_templates_count_tokens_approx_count_tokens_approx__run to source this information""]","{""fields"": [""inputs""], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""get"", ""isinstance"", ""len"", ""run"", ""sum"", ""type"", ""typeerror""]",a4f36801f9971c341c0d7fc6eb9a3114b049ca0225ca61dcf0866f585c16ab2e,"[""semantic_bucket:34:pos"", ""semantic_bucket:11:pos"", ""semantic_bucket:62:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:43:pos"", ""semantic_bucket:35:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:21:pos""]","[""output_field_wrapper""]",8106ae4affeea863b6b114da6c266168bc6c31dfed32f8011cb8aee6c31f7556,false
blockprofile_10c6678e49f370c5dfac51b7,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,"[""primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re"", ""py_const_code_templates_extract_email_extract_email__email_re""]","[""12"", ""artifact"", ""as"", ""at"", ""before"", ""candidate"", ""code"", ""compose"", ""const"", ""dag"", ""email"", ""enrich"", ""evidence"", ""extract"", ""false"", ""generated"", ""graph"", ""information"", ""kind"", ""primitive"", ""promotion"", ""prove"", ""py"", ""python"", ""re"", ""real"", ""repo"", ""searchable"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""to"", ""use"", ""value""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_const_code_templates_extract_email_extract_email__email_re as a dag step for a this task"", ""const"", ""dag"", ""email"", ""extract"", ""false"", ""information"", ""kind"", ""kind:const"", ""path:code-templates/extract_email/extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""re"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""to"", ""use"", ""use py_const_code_templates_extract_email_extract_email__email_re to source this information""]","{""fields"": [], ""shape"": ""source_symbol_candidate""}","{""fields"": [], ""shape"": ""python_value_candidate""}","[""code-templates/extract_email/extract_email.py:12"", ""py_const_code_templates_extract_email_extract_email__email_re""]",2f03fb9a1ad50da4157493ce1c11c58bbbb8c3f3d628ab681375367f11028f89,"[""semantic_bucket:11:pos"", ""semantic_bucket:49:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:63:pos"", ""semantic_bucket:61:pos"", ""semantic_bucket:55:pos"", ""semantic_bucket:54:pos""]","[""output_field_wrapper""]",e60f320c3588f12ef039a2a8efa871beea66390c5d371a4098fd9f5c71175aee,false
blockprofile_52d19708c3b819548d119951,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,"[""primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run"", ""py_function_code_templates_extract_email_extract_email__run""]","[""15"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""dag"", ""does"", ""email"", ""enrich"", ""evidence"", ""extract"", ""false"", ""function"", ""generated"", ""graph"", ""information"", ""inputs"", ""inventory"", ""kind"", ""line"", ""logs"", ""name"", ""not"", ""observed"", ""or"", ""parameter"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""required"", ""return"", ""run"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""to"", ""true"", ""use""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_extract_email__run as a dag step for a this task"", ""dag"", ""email"", ""extract"", ""false"", ""function"", ""information"", ""kind"", ""kind:function"", ""path:code-templates/extract_email/extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""run"", ""source"", ""step"", ""task"", ""templates"", ""to"", ""use"", ""use py_function_code_templates_extract_email_extract_email__run to source this information""]","{""fields"": [""inputs""], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""<module>"", ""add"", ""append"", ""findall"", ""get"", ""isinstance"", ""len"", ""lower"", ""run"", ""set"", ""type"", ""typeerror""]",fb7fd9ee09e08d8cf564df8270546dff9b4c9edf11b6bdcf3aa55775b1213109,"[""semantic_bucket:34:pos"", ""semantic_bucket:11:pos"", ""semantic_bucket:62:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:43:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:9:pos""]","[""output_field_wrapper""]",adbc6859c764a904ce82ddd166ec75fc616af881cb125b2f51b67e47e8dd6701,false
blockprofile_cbcaba7029aeb95f2eea9bce,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,"[""primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample"", ""py_var_code_templates_extract_email_extract_email__sample""]","[""44"", ""artifact"", ""as"", ""at"", ""before"", ""candidate"", ""code"", ""compose"", ""dag"", ""email"", ""enrich"", ""evidence"", ""extract"", ""false"", ""generated"", ""graph"", ""information"", ""kind"", ""primitive"", ""promotion"", ""prove"", ""py"", ""python"", ""real"", ""repo"", ""sample"", ""searchable"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""to"", ""use"", ""value"", ""var""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_var_code_templates_extract_email_extract_email__sample as a dag step for a this task"", ""dag"", ""email"", ""extract"", ""false"", ""information"", ""kind"", ""kind:var"", ""path:code-templates/extract_email/extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""sample"", ""source"", ""step"", ""task"", ""templates"", ""to"", ""use"", ""use py_var_code_templates_extract_email_extract_email__sample to source this information"", ""var""]","{""fields"": [], ""shape"": ""source_symbol_candidate""}","{""fields"": [], ""shape"": ""python_value_candidate""}","[""code-templates/extract_email/extract_email.py:44"", ""py_var_code_templates_extract_email_extract_email__sample""]",16a1569b62421d09bb2b53ba6a6f8286e41dff723c4152eac7cf7aec4194e8cf,"[""semantic_bucket:11:pos"", ""semantic_bucket:63:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:61:pos"", ""semantic_bucket:55:pos"", ""semantic_bucket:54:pos"", ""semantic_bucket:49:pos""]","[""output_field_wrapper""]",25f0ea3b47d27d3f01dd1fe2760c5603496ad1d50b74daf8338658db6c7884e3,false
blockprofile_a648970bc0239b25b717aed0,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,"[""primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic"", ""py_function_code_templates_extract_email_tests_test_extract_email__test_basic""]","[""11"", ""after"", ""artifact"", ""as"", ""at"", ""basic"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""dag"", ""does"", ""email"", ""enrich"", ""evidence"", ""extract"", ""function"", ""generated"", ""graph"", ""information"", ""inventory"", ""kind"", ""logs"", ""not"", ""observed"", ""or"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""return"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use""]","[""artifact"", ""as"", ""basic"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_tests_test_extract_email__test_basic as a dag step for a this task"", ""dag"", ""email"", ""extract"", ""function"", ""information"", ""kind"", ""kind:function"", ""path:code-templates/extract_email/tests/test_extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use"", ""use py_function_code_templates_extract_email_tests_test_extract_email__test_basic to source this information""]","{""fields"": [], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""run"", ""sorted"", ""test_basic""]",ebd1f7d92c1b3c558934d4359e117421b2bff1cf020758de44cf21a4a1ce11ef,"[""semantic_bucket:11:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:34:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:8:pos"", ""semantic_bucket:1:pos"", ""semantic_bucket:63:pos""]","[""output_field_wrapper""]",7898afa7395be8f69281e066dc8707cab2156a659ac64cfa6d160701bb7963c6,false
blockprofile_4d0b360e8b5e5b9527c89570,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,"[""primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive"", ""py_function_code_templates_extract_email_tests_test_extract_email__test_dedup_case_insensitive""]","[""17"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""case"", ""code"", ""compose"", ""dag"", ""dedup"", ""does"", ""email"", ""enrich"", ""evidence"", ""extract"", ""function"", ""generated"", ""graph"", ""information"", ""insensitive"", ""inventory"", ""kind"", ""logs"", ""not"", ""observed"", ""or"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""return"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use""]","[""artifact"", ""as"", ""candidate"", ""case"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_tests_test_extract_email__test_dedup_case_insensitive as a dag step for a this task"", ""dag"", ""dedup"", ""email"", ""extract"", ""function"", ""information"", ""insensitive"", ""kind"", ""kind:function"", ""path:code-templates/extract_email/tests/test_extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use"", ""use py_function_code_templates_extract_email_tests_test_extract_email__test_dedup_case_insensitive to source this information""]","{""fields"": [], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""run"", ""test_dedup_case_insensitive""]",dd2c44827171306989c899535c8b8de2b09ccd0414be524b9c393c988c9bb0fd,"[""semantic_bucket:11:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:34:pos"", ""semantic_bucket:28:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:8:pos"", ""semantic_bucket:6:pos""]","[""output_field_wrapper""]",2d1ecabd8b1709825c88f9df422b6afbc227696ea211b056aeeb63fdfb013ef7,false
blockprofile_9c40a58b3ce734f1178a6853,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,"[""primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty"", ""py_function_code_templates_extract_email_tests_test_extract_email__test_empty""]","[""24"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""dag"", ""does"", ""email"", ""empty"", ""enrich"", ""evidence"", ""extract"", ""function"", ""generated"", ""graph"", ""information"", ""inventory"", ""kind"", ""logs"", ""not"", ""observed"", ""or"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""return"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_tests_test_extract_email__test_empty as a dag step for a this task"", ""dag"", ""email"", ""empty"", ""extract"", ""function"", ""information"", ""kind"", ""kind:function"", ""path:code-templates/extract_email/tests/test_extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use"", ""use py_function_code_templates_extract_email_tests_test_extract_email__test_empty to source this information""]","{""fields"": [], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""run"", ""test_empty""]",b2c28de0456f6a9cd89c7d44fbe6eb45f63107403b18c26c8718f8d4cddbded1,"[""semantic_bucket:11:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:34:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:13:pos"", ""semantic_bucket:8:pos"", ""semantic_bucket:1:pos""]","[""output_field_wrapper""]",3bb838cf9354d967c6549b13e130a1ad6a25fa586ad63804df1b21035e1859f2,false
blockprofile_0e169f9bb64ffe274ff8f6e2,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,"[""primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails"", ""py_function_code_templates_extract_email_tests_test_extract_email__test_no_emails""]","[""29"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""dag"", ""does"", ""email"", ""emails"", ""enrich"", ""evidence"", ""extract"", ""function"", ""generated"", ""graph"", ""information"", ""inventory"", ""kind"", ""logs"", ""no"", ""not"", ""observed"", ""or"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""return"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_tests_test_extract_email__test_no_emails as a dag step for a this task"", ""dag"", ""email"", ""emails"", ""extract"", ""function"", ""information"", ""kind"", ""kind:function"", ""no"", ""path:code-templates/extract_email/tests/test_extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""test"", ""tests"", ""to"", ""use"", ""use py_function_code_templates_extract_email_tests_test_extract_email__test_no_emails to source this information""]","{""fields"": [], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""run"", ""test_no_emails""]",0ffb9d8aa30e6631c56d6d27b945e985d814130f34a25583cb5a8647095bc316,"[""semantic_bucket:11:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:35:pos"", ""semantic_bucket:34:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:8:pos"", ""semantic_bucket:1:pos""]","[""output_field_wrapper""]",a7500ea36ee59a54d8328751aa1ade6eeb5286f184897b83a78204398deb7320,false
blockprofile_ebbd86cc1fab92ef24a837c8,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,"[""primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text"", ""py_function_code_templates_extract_email_tests_test_extract_email__test_missing_text""]","[""34"", ""after"", ""artifact"", ""as"", ""at"", ""before"", ""callable"", ""candidate"", ""code"", ""compose"", ""dag"", ""does"", ""email"", ""enrich"", ""evidence"", ""extract"", ""function"", ""generated"", ""graph"", ""information"", ""inventory"", ""kind"", ""logs"", ""missing"", ""not"", ""observed"", ""or"", ""parameters"", ""primitive"", ""promote"", ""promotion"", ""proof"", ""prove"", ""py"", ""python"", ""real"", ""reason"", ""receipts"", ""repo"", ""return"", ""searchable"", ""signature"", ""source"", ""step"", ""symbol"", ""task"", ""templates"", ""test"", ""tests"", ""text"", ""to"", ""use""]","[""artifact"", ""as"", ""candidate"", ""code"", ""compose"", ""compose py_function_code_templates_extract_email_tests_test_extract_email__test_missing_text as a dag step for a this task"", ""dag"", ""email"", ""extract"", ""function"", ""information"", ""kind"", ""kind:function"", ""missing"", ""path:code-templates/extract_email/tests/test_extract_email.py"", ""primitive"", ""primitive_candidate"", ""py"", ""real"", ""real_code_artifact"", ""repo"", ""repo_code"", ""source"", ""step"", ""task"", ""templates"", ""test"", ""tests"", ""text"", ""to"", ""use"", ""use py_function_code_templates_extract_email_tests_test_extract_email__test_missing_text to source this information""]","{""fields"": [], ""shape"": ""callable_signature_candidate""}","{""fields"": [], ""shape"": ""unknown_candidate""}","[""run"", ""test_missing_text""]",d695e63dae99e3e3e2964bec5565df8e438bbc0e92a440d0f1a2883a93f7f0bc,"[""semantic_bucket:11:pos"", ""semantic_bucket:61:pos"", ""semantic_bucket:56:pos"", ""semantic_bucket:34:pos"", ""semantic_bucket:26:pos"", ""semantic_bucket:14:pos"", ""semantic_bucket:8:pos"", ""semantic_bucket:1:pos""]","[""output_field_wrapper""]",126d702081947aad8229a102d089cdf2e0abe2318ff98085eeafa323d108dd65,false
