primitive_edge_id,registry_record_id,edge_role,edge_name,contract_uid,contract_notation,shape,field_keys,schema_json,artifact_policy,secret_policy,edge_hash
edge_b420c395f8e27e5b12fdaee2,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,input,input,contract_790ee70f874dc17f62215d75,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 12}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},b420c395f8e27e5b12fdaee296df507603cec4a6a5a4370e24abd07b0773ffbb
edge_13c7cae3def7f4e22b61b264,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},13c7cae3def7f4e22b61b264e094afbad6d4ac873727ab4646ed4f7b525962fa
edge_3f7a578865ecea3ff2cb62d3,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,input,input,contract_daea9bbfce2c32cedb7ed7a5,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 11}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},3f7a578865ecea3ff2cb62d35a760e40095704a96a00cee8c259fc09fc7e5e6f
edge_28ec510995397ffc63b5fdfa,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},28ec510995397ffc63b5fdfae4d186ed0efa2f2b383fa5622cb42da39fdc2fc0
edge_ec388c4d489d843e2a636363,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},ec388c4d489d843e2a63636314354832651a72188fbae59b95982f43361603a2
edge_275a06ae711ae20dd192b8eb,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},275a06ae711ae20dd192b8ebb3bd1133ff6e63836147f7e707111f86f6be2d6a
edge_bf13ad8c5ee781b135109313,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,input,input,contract_d3795c076b7307409441d8f7,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 15}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},bf13ad8c5ee781b13510931369547068a0859390d0ec22988db5452cad712abf
edge_133445849723cdfb6db92724,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},133445849723cdfb6db92724fab544e2e1ba58b15c6fa652386500ac47bbbc75
edge_29df8b6587286075a681a688,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,input,input,contract_7a3fc5080c880296de9c9131,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""var"", ""shape"": ""source_symbol_candidate""}",{},{},29df8b6587286075a681a6889c2dcbe07a71eda98e224c9b2e19926f36baaef8
edge_f2b6f1d494519392885a2277,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,output,output,contract_db10d734bd4330f00feb890e,python_value_candidate,python_value_candidate,[],"{""kind"": ""var"", ""shape"": ""python_value_candidate""}",{},{},f2b6f1d494519392885a2277410e4fe1b8777d104e3924fbcc86942c704311ec
edge_20a2e1e34ae3f9dceceaa2bb,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},20a2e1e34ae3f9dceceaa2bb4562840a79581ff2d05a1b2a2b31902aa33c94b6
edge_84328dfd8f16a29997598b41,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},84328dfd8f16a29997598b41a8be561caddf09862558056fe8174375cdbdf326
edge_0a0cf2acabc75fe06b2b033e,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},0a0cf2acabc75fe06b2b033eb331ce2a6fea529710d5ebf0c132bb83d3667568
