primitive_effect_id,registry_record_id,effect_kind,effect_scope,requires_gate,requires_receipt,idempotency_required
effect_5831483e8701c4b93c01d0a3,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_fd42b3260eb8d5a629f9fead,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_df213fc189fb10f34d751964,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_55b437bf5111a986ef8243f7,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_74772adb2fde6217c4c20591,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_8c8da9853a97b2182e5ca61b,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_1fc9f0b721799c86cb12395c,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_c5f01aa4ab3d90a73eaf5e11,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_f4363728229ca54702e893b0,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_af603a6d1260d2a84a0c5fb5,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_e8adc3ed3af9b3a9191e3755,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_661bd1ac71d8b80d9f2bbd30,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_6cef9d81b3567f93212b6d0e,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_a62946fd1880072db37ff77e,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_5043948c28a03fafb0463be4,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_adfe1b592b6506f67bdf6a49,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_3c0ec6b7cd1c330f85a83ad6,primitive.repo.code_templates_extract_url_extract_url_py.const.py_const_code_templates_extract_url_extract_url_url_re,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_c6aa74138afd50554e309194,primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_cfe846abf051ce7e9d99cc83,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_bdfff57f35057596a3210220,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_5ae674e5f9fcb110c84c859a,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_c20e9e04dc4e5deebde7377a,primitive.repo.code_templates_normalize_date_normalize_date_py.const.py_const_code_templates_normalize_date_normalize_date_patterns,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_b3cea890040c02f0e98f0edc,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_a0a53ba3c2f79357bfb254c3,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_c38e5cb99df33ad6e47bdc3b,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_bool_input,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_bb34aaad62f318880bb9df0d,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_delimiter_input,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_764e0ef22e3184a3ef73205f,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_max_rows_input,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_3e4534d5b403e32450196dc4,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_2a84c5f584365cd9535a5cf5,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_b4981bc49e49d14f983248d1,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.var.py_var_code_templates_parse_csv_rows_parse_csv_rows_sample,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_ab9a96e6da527949e4b9f719,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_header_rows,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_e3dbad6fefd4bc975b074fa8,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_semicolon_delimiter_and_trim,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_0b8f1a2e478a7e11720eb1af,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_no_header_generates_column_names,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_b7c6559c5ba4d44802808590,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_duplicate_and_blank_headers_are_stable,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_0d70aad2fa8e9bf52f58a181,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_missing_cells_are_empty_strings,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_5c648d549ab83c11f218f5e8,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_max_rows_truncates,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_8d2308a27f4c70b2d726e285,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_empty_csv,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_6ec7d95abf6b36d3addc1819,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_type_errors,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_52ba39f599e86a9a7df9d233,primitive.repo.code_templates_sha256_hash_sha256_hash_py.function.py_function_code_templates_sha256_hash_sha256_hash_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_f68b2d2a7dff0ed29b635fca,primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_lengths,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_2ce28f6f4eabd5a8e0c6c2e5,primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_re,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_a52ee02f28fe0fa21479c990,primitive.repo.code_templates_validate_iban_validate_iban_py.function.py_function_code_templates_validate_iban_validate_iban_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
