mutation_option_id,registry_record_id,mutator_agent_id,from_edge_id,target_edge_template,fit_class,precondition_status,confidence,reason,serves_truth
mutationoption_2d7bd17cf09a0b7bac79a982,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,mutator:core:output_field_wrapper@candidate,edge_13c7cae3def7f4e22b61b264,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_ba11eecb06a4f89a27d16557,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,mutator:core:output_field_wrapper@candidate,edge_28ec510995397ffc63b5fdfa,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_007dac23a699aa443a935b98,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,mutator:core:output_field_wrapper@candidate,edge_275a06ae711ae20dd192b8eb,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_41e39a8637342c26812d8259,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,mutator:core:output_field_wrapper@candidate,edge_133445849723cdfb6db92724,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_d287a3cf7fa56b45db1b5b45,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,mutator:core:output_field_wrapper@candidate,edge_f2b6f1d494519392885a2277,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_5b610eccc7ef483ee18a5158,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,mutator:core:output_field_wrapper@candidate,edge_84328dfd8f16a29997598b41,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_82466f21820d5f45a48e7df6,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,mutator:core:output_field_wrapper@candidate,edge_0f4ca1260b494fc039c16d0c,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_f11c5229fdc13c340fb8698d,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,mutator:core:output_field_wrapper@candidate,edge_dcf38c43ee41e3bb2ac9047e,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_bae742ec1d53ee1d6930acb1,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,mutator:core:output_field_wrapper@candidate,edge_16dcbe96a016e48f30346a57,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_12581fd8e95544e1b68e08b6,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,mutator:core:output_field_wrapper@candidate,edge_c9106e1afd8f0dbf0ab0ff9d,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_275278ca67d4369ff134c1fb,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,mutator:core:output_field_wrapper@candidate,edge_165de05ee88981871fee052b,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_30507d6b2577e0254f0771ec,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,mutator:core:output_field_wrapper@candidate,edge_2d8ea8ed65255f30dc7d50fb,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_206587dd00f8bf0244cddf80,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,mutator:core:output_field_wrapper@candidate,edge_2b6a3381df4a869dc6e57e74,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_951ae5be37bcb678758d40fc,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,mutator:core:output_field_wrapper@candidate,edge_c6978a8c70beeb5754e6ee4f,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_b82cedb0d68adc5baf2b8494,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,mutator:core:output_field_wrapper@candidate,edge_533ed8edf79313d056abb23e,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_5fdd81fc30364a0e0257c676,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,mutator:core:output_field_wrapper@candidate,edge_cb4d7c1b59da78dffa178077,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_80cc064a6af0daa3eb7d5301,primitive.repo.code_templates_extract_url_extract_url_py.const.py_const_code_templates_extract_url_extract_url_url_re,mutator:core:output_field_wrapper@candidate,edge_bc28eb7bee02561d8958d9fe,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_572cd93844af0cf429501efa,primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,mutator:core:output_field_wrapper@candidate,edge_c1a6e24ec254a2f74b0a184d,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_6dce40a28f445d82c9b48dd7,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,mutator:core:output_field_wrapper@candidate,edge_3e9c9fd436caba3094a56e57,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_bacf3b46e154a6bdb63d6fd0,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,mutator:core:output_field_wrapper@candidate,edge_7621552848496c9eae27e23c,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_c81e9a10d9f77687aa49d433,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,mutator:core:output_field_wrapper@candidate,edge_c608f579f2a937d1d74f4c80,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_e71cb08edd1f0cdb2978417c,primitive.repo.code_templates_normalize_date_normalize_date_py.const.py_const_code_templates_normalize_date_normalize_date_patterns,mutator:core:output_field_wrapper@candidate,edge_1402261f8a8f7582acaa9328,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_07342438de87442a7982109c,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,mutator:core:output_field_wrapper@candidate,edge_99bbc9eb5b36a3d5ae4c54af,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_5bc7eac1442f6dd2f0ffa35c,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_run,mutator:core:output_field_wrapper@candidate,edge_31139bb30fd88ebc651536ee,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_e311fc20bab1c56028c7a99a,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_bool_input,mutator:core:output_field_wrapper@candidate,edge_003396f0bab1485c96d752f4,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_2e010ace9b14b16f20ae87cc,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_delimiter_input,mutator:core:output_field_wrapper@candidate,edge_877b44b1c2360ca9c61874a9,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_033eb62bffb70f7eb8b843dd,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_max_rows_input,mutator:core:output_field_wrapper@candidate,edge_68b75c215edf2a0673341468,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_fe172510cb198befecfe06c1,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,mutator:core:output_field_wrapper@candidate,edge_0cf90a89460167baa02578e4,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_bee3b9fae11bff3626cebb49,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,mutator:core:output_field_wrapper@candidate,edge_70c86959749a6b8d5c7f58d2,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_33a68ee6e114a98bfe3a145f,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.var.py_var_code_templates_parse_csv_rows_parse_csv_rows_sample,mutator:core:output_field_wrapper@candidate,edge_f63b47d35393359ccb502ce2,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_36262edbc9a402f310c3b34c,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_header_rows,mutator:core:output_field_wrapper@candidate,edge_78b365d6ae81b30d2a4d0a2f,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_7c8c13b9946ffbfad557ef83,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_semicolon_delimiter_and_trim,mutator:core:output_field_wrapper@candidate,edge_9ce4853d55cb671eaf03964a,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
mutationoption_a527f9d4ac4e967645f9ac65,primitive.repo.code_templates_parse_csv_rows_tests_test_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_tests_test_parse_csv_rows_test_no_header_generates_column_names,mutator:core:output_field_wrapper@candidate,edge_5176fdb51a81be2c2cea322c,"{""mutation"": ""output_field_wrapper""}",deterministic_edit_match,possible,0.5,precomputed_from_candidate_blocking_profile,false
