primitive_quality_assessment_id,registry_record_id,assessor_id,quality_score,quality_class,surfaceable,readiness_before,readiness_after,trust_before,trust_after,domains,signals,blockers,enriched_input_contract,enriched_output_contract,mutation_options,recommended_action,assessment_hash,serves_truth
primqa_9fa5847f078580aa88788b9b,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""embedding_similarity"", ""ml_data_science""]","[""clear_blackbox_description"", ""domain:embedding_similarity,ml_data_science"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]",[],"{""fields"": {""a"": ""list"", ""b"": ""list""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""dim"": ""integer"", ""score"": ""number""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_2d7bd17cf09a0b7bac79a982"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,0a691f1e0b36830d58c64ce4817ffc8def49264ef53f72233f0da8e64102c0bf,false
primqa_047601904b10f00019fa9f88,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""ml_data_science""]","[""clear_blackbox_description"", ""domain:ml_data_science"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]",[],"{""fields"": {""text"": ""string""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""approx_tokens"": ""value_candidate"", ""char_count"": ""value_candidate"", ""cjk_char_count"": ""value_candidate"", ""method"": ""string""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_ba11eecb06a4f89a27d16557"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,1aab893e2517d54e4dc374d9cd11fa45c6526980149426f08cdbd376ad182f35,false
primqa_2c9573e11044f618f957ed2d,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""extraction""]","[""clear_blackbox_description"", ""domain:extraction"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]",[],"{""fields"": {""text"": ""string""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""count"": ""integer"", ""emails"": ""value_candidate""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_41e39a8637342c26812d8259"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,ff0873ee611c07ec803d37b0c0e93006720279b3c66caf2f7a8c89c99183fd2d,false
primqa_53b446e8db2826e6bbd5b7d1,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,primitive_quality_promoter.v1,100,noise_low_level_symbol,false,R3_contract_known,R3_contract_known,candidate,candidate,"[""extraction"", ""normalization""]","[""clear_blackbox_description"", ""domain:extraction,normalization"", ""effect_declared"", ""input_edge:callable_signature_candidate"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:python_return_annotation_candidate"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]","[""missing_direct_function_blackbox""]","{""parameters"": [{""annotation"": ""str"", ""name"": ""raw"", ""required"": true}, {""annotation"": ""str"", ""name"": ""default_cc"", ""required"": true}], ""shape"": ""callable_signature_candidate"", ""source"": ""python_ast_signature_enrichment""}","{""annotation"": ""str"", ""shape"": ""python_return_annotation_candidate"", ""source"": ""python_ast_return_annotation_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_b82cedb0d68adc5baf2b8494"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",keep_indexed_for_fallback_but_hide_from_default_reuse,fa43ee9dd762747acb1b0d416246dd1b69b3decedfbecf4c6189b1bc1bfb6ddf,false
primqa_cf515542163256b4a433b793,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""extraction"", ""normalization""]","[""clear_blackbox_description"", ""domain:extraction,normalization"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]",[],"{""fields"": {""default_country_code"": ""string"", ""text"": ""string""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""count"": ""integer"", ""phones_e164"": ""value_candidate""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_5fdd81fc30364a0e0257c676"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,69d73c52728b970bff2bf3959f355214839316c1b1f538f10560807004efba49,false
primqa_1b69fed552c80c3acb320113,primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""api_integration"", ""extraction""]","[""domain:api_integration,extraction"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]","[""thin_blackbox_description""]","{""fields"": {""text"": ""string""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""count"": ""integer"", ""urls"": ""value_candidate""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_572cd93844af0cf429501efa"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,844d19edad508cb3e0838643832716a1047b8a44426958c310ddfe49c0dacb8c,false
primqa_a4e4b2f33e3ae89975cb4985,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,primitive_quality_promoter.v1,100,noise_low_level_symbol,false,R3_contract_known,R3_contract_known,candidate,candidate,"[""embedding_similarity"", ""extraction""]","[""clear_blackbox_description"", ""domain:embedding_similarity,extraction"", ""effect_declared"", ""input_edge:callable_signature_candidate"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:python_return_annotation_candidate"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]","[""missing_direct_function_blackbox""]","{""parameters"": [{""annotation"": ""str"", ""name"": ""s1"", ""required"": true}, {""annotation"": ""str"", ""name"": ""s2"", ""required"": true}], ""shape"": ""callable_signature_candidate"", ""source"": ""python_ast_signature_enrichment""}","{""annotation"": ""float"", ""shape"": ""python_return_annotation_candidate"", ""source"": ""python_ast_return_annotation_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_6dce40a28f445d82c9b48dd7"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",keep_indexed_for_fallback_but_hide_from_default_reuse,95f463cdb6c5b1c0db2b19cd9d9c6d5e26524f88f13d787e65bc2a0ce6eb3a74,false
primqa_fefa71b7f54ee908d709348e,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,primitive_quality_promoter.v1,100,noise_low_level_symbol,false,R3_contract_known,R3_contract_known,candidate,candidate,"[""embedding_similarity"", ""extraction""]","[""clear_blackbox_description"", ""domain:embedding_similarity,extraction"", ""effect_declared"", ""input_edge:callable_signature_candidate"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:python_return_annotation_candidate"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]","[""missing_direct_function_blackbox""]","{""parameters"": [{""annotation"": ""str"", ""name"": ""s1"", ""required"": true}, {""annotation"": ""str"", ""name"": ""s2"", ""required"": true}, {""annotation"": ""float"", ""name"": ""p"", ""required"": true}, {""annotation"": ""int"", ""name"": ""prefix_max"", ""required"": true}], ""shape"": ""callable_signature_candidate"", ""source"": ""python_ast_signature_enrichment""}","{""annotation"": ""float"", ""shape"": ""python_return_annotation_candidate"", ""source"": ""python_ast_return_annotation_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_bacf3b46e154a6bdb63d6fd0"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",keep_indexed_for_fallback_but_hide_from_default_reuse,15c85d7a89e69cdf4c0ecb7b8956c2bb779672977a01ca87a6ffa71ebf1a4d51,false
primqa_0e6f028e28ff3c4de9b559ba,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,primitive_quality_promoter.v1,100,surfaceable_reuse_candidate,true,R3_contract_known,R8_aidevobserver_surfaceable,candidate,validated,"[""embedding_similarity"", ""extraction"", ""ml_data_science""]","[""clear_blackbox_description"", ""domain:embedding_similarity,extraction,ml_data_science"", ""effect_declared"", ""input_edge:object"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:object"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]",[],"{""fields"": {""a"": ""string"", ""b"": ""string"", ""case_insensitive"": ""boolean""}, ""original_parameters"": [{""annotation"": ""dict[str, Any]"", ""name"": ""inputs"", ""required"": true}], ""shape"": ""object"", ""source"": ""python_ast_inputs_get_enrichment""}","{""fields"": {""a"": ""value_candidate"", ""b"": ""value_candidate"", ""case_insensitive"": ""value_candidate"", ""score"": ""value_candidate""}, ""return_annotation"": ""dict[str, Any]"", ""shape"": ""object"", ""source"": ""python_ast_return_dict_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_c81e9a10d9f77687aa49d433"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",surface_in_aidevobserver_as_candidate_reuse_card,952e8d261b5534870e575d4e71598a77862b22929664b0ab66eff0a582d6d2d6,false
primqa_7c992b50baea2b0061506ec0,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,primitive_quality_promoter.v1,100,noise_low_level_symbol,false,R3_contract_known,R3_contract_known,candidate,candidate,"[""normalization"", ""parsing""]","[""clear_blackbox_description"", ""domain:normalization,parsing"", ""effect_declared"", ""input_edge:callable_signature_candidate"", ""mutation_options:1"", ""non_synthetic"", ""output_edge:python_return_annotation_candidate"", ""preferred_symbol_kind:function"", ""python_ast_contract_enrichment"", ""real_source_artifact""]","[""missing_direct_function_blackbox""]","{""parameters"": [{""annotation"": ""str"", ""name"": ""raw"", ""required"": true}], ""shape"": ""callable_signature_candidate"", ""source"": ""python_ast_signature_enrichment""}","{""annotation"": ""str | None"", ""shape"": ""python_return_annotation_candidate"", ""source"": ""python_ast_return_annotation_enrichment""}","[{""confidence"": 0.5, ""fit_class"": ""deterministic_edit_match"", ""mutation_option_id"": ""mutationoption_07342438de87442a7982109c"", ""mutator_agent_id"": ""mutator:core:output_field_wrapper@candidate"", ""precondition_status"": ""possible"", ""target_edge_template"": {""mutation"": ""output_field_wrapper""}}]",keep_indexed_for_fallback_but_hide_from_default_reuse,346761a0d77e0007a6f0e45dd1b2fa31a86d6f2eae862f82d679562adbb1f13b,false
