registry_embedding_id,registry_record_id,object_embedding_id,view_profile,embedding_model_id,text_hash,embedded_text,embedding,metadata
regemb_dc683362ab7a26de87e1da51,primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,,planning,canonical_embedding_pending,504c61594545b52a2c769fac85cf31c720780c7d07c0fcd8693588bbbce419f8,12 after artifact as at before callable candidate code compose cosine dag does enrich evidence false function generated graph information inputs inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return run searchable signature similarity source step symbol task templates to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_422c1fc21545260bac008b21,primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,,planning,canonical_embedding_pending,a4f36801f9971c341c0d7fc6eb9a3114b049ca0225ca61dcf0866f585c16ab2e,11 after approx artifact as at before callable candidate code compose count dag does enrich evidence function generated graph information inputs inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return run searchable signature source step symbol task templates to tokens true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_dd94afe455bb9271a9c65d73,primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,,planning,canonical_embedding_pending,2f03fb9a1ad50da4157493ce1c11c58bbbb8c3f3d628ab681375367f11028f89,12 artifact as at before candidate code compose const dag email enrich evidence extract false generated graph information kind primitive promotion prove py python re real repo searchable source step symbol task templates to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_c9fff8172f64a66a44f1d9ea,primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,,planning,canonical_embedding_pending,fb7fd9ee09e08d8cf564df8270546dff9b4c9edf11b6bdcf3aa55775b1213109,15 after artifact as at before callable candidate code compose dag does email enrich evidence extract false function generated graph information inputs inventory kind line logs name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return run searchable signature source step symbol task templates to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_f915435707634b21a5dacddc,primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,,planning,canonical_embedding_pending,16a1569b62421d09bb2b53ba6a6f8286e41dff723c4152eac7cf7aec4194e8cf,44 artifact as at before candidate code compose dag email enrich evidence extract false generated graph information kind primitive promotion prove py python real repo sample searchable source step symbol task templates to use value var,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_227e10cdaf640b44c4361903,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,,planning,canonical_embedding_pending,ebd1f7d92c1b3c558934d4359e117421b2bff1cf020758de44cf21a4a1ce11ef,11 after artifact as at basic before callable candidate code compose dag does email enrich evidence extract function generated graph information inventory kind logs not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_4fca3ceb42da576def8b03f0,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,,planning,canonical_embedding_pending,dd2c44827171306989c899535c8b8de2b09ccd0414be524b9c393c988c9bb0fd,17 after artifact as at before callable candidate case code compose dag dedup does email enrich evidence extract function generated graph information insensitive inventory kind logs not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_06385ecdb672108a030b2f3c,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,,planning,canonical_embedding_pending,b2c28de0456f6a9cd89c7d44fbe6eb45f63107403b18c26c8718f8d4cddbded1,24 after artifact as at before callable candidate code compose dag does email empty enrich evidence extract function generated graph information inventory kind logs not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_44d5ac0548a5a623254bfdac,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,,planning,canonical_embedding_pending,0ffb9d8aa30e6631c56d6d27b945e985d814130f34a25583cb5a8647095bc316,29 after artifact as at before callable candidate code compose dag does email emails enrich evidence extract function generated graph information inventory kind logs no not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_3b82f0ca275e328dcfb70f00,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,,planning,canonical_embedding_pending,d695e63dae99e3e3e2964bec5565df8e438bbc0e92a440d0f1a2883a93f7f0bc,34 after artifact as at before callable candidate code compose dag does email enrich evidence extract function generated graph information inventory kind logs missing not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests text to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_883df4b927ad50189aa81c72,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,,planning,canonical_embedding_pending,4a71e2ccebcfd68d6e004ae2593a9b414fe404f4c3584a2b932ac0922ca6968e,39 after artifact as at before callable candidate code compose dag does email enrich error evidence extract function generated graph information inventory kind logs not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return searchable signature source step symbol task templates test tests to type use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_b0d0794e0da56fb63517622f,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,,planning,canonical_embedding_pending,e521f216ba78060790b58ae3a2f43cce36838e7663f21f41564cc119ca9ca72f,14 artifact as at before candidate code compose const dag e164 enrich evidence extract false generated graph information kind phone primitive promotion prove py python real repo searchable source step symbol task templates to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_dab14d2b37a48ee1f3f55e07,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,,planning,canonical_embedding_pending,5f9a2c70a97e63c64115d3606941e879468317837cf44dd31af8d64d6ffba4f7,17 artifact as at before candidate code compose const dag digits e164 enrich evidence extract generated graph information kind phone primitive promotion prove py python real repo searchable source step symbol task templates to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_fe3c0a957001bc52a962f3e4,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,,planning,canonical_embedding_pending,e74c13e2a8266b0668ddf951aa64d64c8be9087ea07dcadc57ad55e3ea641bdb,18 artifact as at before candidate code compose const dag e164 enrich evidence extract generated graph information keep kind phone primitive promotion prove py python real repo searchable source step symbol task templates to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
