registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.code_templates_cosine_similarity_cosine_similarity_py.function.py_function_code_templates_cosine_similarity_cosine_similarity_run,source_944b865f286529bfa3ce2f84,derived_from,"{""line"": 12, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_count_tokens_approx_count_tokens_approx_py.function.py_function_code_templates_count_tokens_approx_count_tokens_approx_run,source_34961b9de70d72b88ac4fb8c,derived_from,"{""line"": 11, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_extract_email_extract_email_py.const.py_const_code_templates_extract_email_extract_email_email_re,source_c34ad05dbf34e1bed5466c56,derived_from,"{""line"": 12, ""symbol"": ""EMAIL_RE""}",candidate
primitive.repo.code_templates_extract_email_extract_email_py.function.py_function_code_templates_extract_email_extract_email_run,source_c34ad05dbf34e1bed5466c56,derived_from,"{""line"": 15, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_extract_email_extract_email_py.var.py_var_code_templates_extract_email_extract_email_sample,source_c34ad05dbf34e1bed5466c56,derived_from,"{""line"": 44, ""symbol"": ""sample""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_basic,source_16d7325656e726b50ff50025,derived_from,"{""line"": 11, ""symbol"": ""test_basic""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,source_16d7325656e726b50ff50025,derived_from,"{""line"": 17, ""symbol"": ""test_dedup_case_insensitive""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,source_16d7325656e726b50ff50025,derived_from,"{""line"": 24, ""symbol"": ""test_empty""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,source_16d7325656e726b50ff50025,derived_from,"{""line"": 29, ""symbol"": ""test_no_emails""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,source_16d7325656e726b50ff50025,derived_from,"{""line"": 34, ""symbol"": ""test_missing_text""}",candidate
primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,source_16d7325656e726b50ff50025,derived_from,"{""line"": 39, ""symbol"": ""test_type_error""}",candidate
primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,source_a3e0d0f9aa4c319b8fff51fe,derived_from,"{""line"": 14, ""symbol"": ""PHONE_CANDIDATE""}",candidate
